縣市,人口數
南投縣,501051
嘉義市,269398
嘉義縣,511182
基隆市,371458
宜蘭縣,456607
屏東縣,829939
彰化縣,1282458
新北市,3986689
新竹市,441132
新竹縣,552169
桃園市,2188017
澎湖縣,104073
臺中市,2787070
臺北市,2683257
臺南市,1886522
臺東縣,219540
花蓮縣,329237
苗栗縣,553807
連江縣,12880
金門縣,137456
雲林縣,690373
高雄市,2776912
